x
1,project_id
2,spatial_unit
3,spatial_location
4,lat
5,lon
6,nr_fields
7,nr_farmers
8,man_mean_date
9,man_sd_date
10,nr_fields_irrigated
11,nr_fields_weeded
12,nr_fields_tilled
13,nr_fields_sowed
14,nr_fields_harvested
15,nr_fields_urea
16,nr_fields_dap
17,nr_fields_potash
18,nr_fields_zinc
19,nr_fields_fungicide
20,nr_fields_herbicide
21,nr_fields_pesticide
22,mean_urea_kg_acre
23,sd_urea_kg_acre
24,mean_dap_kg_acre
25,sd_dap_kg_acre
26,mean_potash_kg_acre
27,sd_potash_kg_acre
28,mean_zinc_kg_acre
29,sd_zinc_kg_acre
30,mean_fungicide_kg_acre
31,sd_fungicide_kg_acre
32,mean_herbicide_kg_acre
33,sd_herbicide_kg_acre
34,dam_mean_date
35,dam_sd_date
36,nr_fields_dam_rain
37,nr_fields_dam_hail
38,nr_fields_dam_high_temp
39,nr_fields_dam_low_temp
40,nr_fields_dam_pest
41,nr_fields_dam_lodging
42,nr_fields_dam_wildlife
43,nr_fields_dam_fire
44,nr_fields_dam_unclassified
45,mean_qa
46,mean_spread
47,mean_nr_values
48,total_nr_values
49,mean_duration
50,mean_sowing_date
51,sd_sowing_date
52,rising
53,falling
54,rising_lower_ci
55,rising_upper_ci
56,falling_lower_ci
57,falling_upper_ci
